level_0,index,Unnamed: 0,date,link_id,sub_link_id,forward_link_direction,roughness_state_estimate,roughness_state_variance,length_in_meter,sub_link_length,sub_link_geometry_wkt
2101548,5123031,5123031,2023-12-15,500752387,7,True,2.0545092,0.046432562,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
2108146,5139196,5139196,2023-12-29,500752387,7,True,2.0910406,0.048611958,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
2108148,5139198,5139198,2023-12-29,500752387,8,True,1.9348106,0.04991188,444.05218,24.66956555555556,"LINESTRING (-5.04767 56.8448, -5.0476 56.84487, -5.04748 56.84499)"
2108156,5139207,5139207,2023-12-29,500752387,5,True,2.0196576,0.04619825,444.05218,24.66956555555556,"LINESTRING (-5.04824 56.84421, -5.04805 56.8444)"
2108170,5139224,5139224,2023-12-29,500752387,17,False,2.2034166,0.060604725,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
2114263,5154225,5154225,2023-12-29,500752387,10,True,2.2476494,0.059620492,444.05218,24.66956555555556,"LINESTRING (-5.0473 56.84519, -5.04715 56.8454)"
2120511,5169079,5169079,2023-07-08,500752387,5,True,1.8076408,0.06355265,444.05218,24.66956555555556,"LINESTRING (-5.04824 56.84421, -5.04805 56.8444)"
2120534,5169102,5169102,2023-07-08,500752387,7,False,2.034408,0.065798454,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
2120601,5169311,5169311,2023-07-08,500752387,2,True,3.2138274,0.08330188,444.05218,24.66956555555556,"LINESTRING (-5.04884 56.84363, -5.04876 56.8437, -5.04864 56.84382)"
2129245,5189337,5189337,2023-07-08,500752387,14,False,2.3010423,0.07002133,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
2131089,5193376,5193376,2023-07-29,500752387,2,True,3.0590973,0.05996869,444.05218,24.66956555555556,"LINESTRING (-5.04884 56.84363, -5.04876 56.8437, -5.04864 56.84382)"
2139951,5214817,5214817,2023-08-08,500752387,8,True,1.7547125,0.050464056,444.05218,24.66956555555556,"LINESTRING (-5.04767 56.8448, -5.0476 56.84487, -5.04748 56.84499)"
2139953,5214819,5214819,2023-08-08,500752387,11,False,2.4092813,0.068894245,444.05218,24.66956555555556,"LINESTRING (-5.04715 56.8454, -5.04714 56.84541, -5.04702 56.8456, -5.04702 56.84561)"
2141179,5218000,5218000,2023-08-08,500752387,0,True,2.5901484,0.06428005,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
2142503,5221432,5221432,2023-08-08,500752387,10,True,2.2237477,0.06562924,444.05218,24.66956555555556,"LINESTRING (-5.0473 56.84519, -5.04715 56.8454)"
2144111,5224770,5224770,2023-08-08,500752387,14,True,3.3658938,0.086439446,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
